Frame,Class,Confidence,X_min,Y_min,X_max,Y_max
3,person,0.37879678606987,589,385,632,462
3,person,0.3349875509738922,478,392,514,456
3,person,0.3106215298175812,693,400,725,463
3,umbrella,0.280761182308197,681,248,1277,390
3,person,0.2710830271244049,623,395,663,464
3,umbrella,0.27072691917419434,157,326,429,387
3,person,0.268078476190567,555,388,594,458
3,person,0.26376792788505554,1203,381,1254,492
3,potted plant,0.2599997818470001,603,463,695,571
3,umbrella,0.2577286958694458,680,249,1280,620
4,person,0.8448886871337891,97,408,190,629
4,person,0.6765101552009583,1179,380,1249,497
4,person,0.6362336277961731,53,419,108,592
4,person,0.6273902058601379,383,428,442,627
4,person,0.6228978037834167,218,412,283,594
4,person,0.6021219491958618,0,412,47,560
4,person,0.5904721021652222,1108,385,1167,487
4,person,0.5705912709236145,189,411,239,589
4,person,0.5351260304450989,1240,381,1279,497
4,person,0.5229455828666687,503,394,541,465
4,person,0.4771967828273773,1032,378,1106,482
4,person,0.4643394947052002,737,374,785,460
4,person,0.4605008065700531,536,388,576,460
4,person,0.3943081200122833,459,391,497,457
4,bicycle,0.3828752934932709,1016,539,1279,716
4,person,0.3739258050918579,1046,393,1106,481
4,person,0.3707851469516754,570,384,613,461
4,person,0.3490470349788666,607,388,645,463
4,person,0.3070463538169861,672,401,708,463
4,person,0.29340991377830505,936,433,987,513
4,umbrella,0.28434616327285767,660,248,1277,623
4,person,0.2815629839897156,273,406,306,540
4,person,0.27797409892082214,924,396,972,467
5,person,0.8122058510780334,76,412,165,635
5,person,0.663801372051239,365,428,427,627
5,person,0.6233193278312683,35,424,83,598
5,person,0.5724323391914368,203,409,261,590
5,person,0.5686363577842712,171,409,219,594
5,person,0.5400786399841309,486,396,524,465
5,person,0.5313806533813477,1157,380,1227,522
5,person,0.5243028402328491,1088,384,1145,484
5,person,0.5200785994529724,1014,379,1087,481
5,bicycle,0.4817533493041992,1000,526,1279,717
5,person,0.4780799150466919,1216,378,1277,499
5,person,0.47249212861061096,520,392,557,459
5,person,0.46908774971961975,552,384,596,463
5,person,0.4257664978504181,722,373,763,486
5,person,0.39195162057876587,253,409,285,569
5,person,0.38798707723617554,441,391,478,457
5,umbrella,0.3689468801021576,644,250,1246,614
5,potted plant,0.36861661076545715,571,462,658,572
5,person,0.32548055052757263,1157,381,1203,486
5,person,0.29323071241378784,170,410,249,593
5,umbrella,0.25968530774116516,115,326,379,390
5,person,0.25511258840560913,917,438,967,511
5,person,0.25246602296829224,590,392,626,463
6,person,0.8390675187110901,60,411,143,636
6,person,0.6415677666664124,20,429,69,599
6,person,0.6356750726699829,156,411,203,596
6,person,0.5941067337989807,352,424,411,630
6,person,0.5653845071792603,193,409,244,590
6,person,0.5485982298851013,474,393,513,465
6,person,0.5080020427703857,706,376,746,464
6,person,0.5066115260124207,1201,379,1260,497
6,person,0.45379820466041565,1000,377,1069,481
6,person,0.4446580410003662,1073,384,1129,484
6,bicycle,0.43987563252449036,991,531,1278,715
6,person,0.4070743918418884,1141,380,1209,521
6,person,0.39942222833633423,541,391,579,465
6,person,0.3916894495487213,574,394,614,464
6,person,0.3835735619068146,506,394,546,461
6,person,0.3543638586997986,235,410,270,583
6,umbrella,0.31430143117904663,635,250,1226,623
6,umbrella,0.3038853406906128,99,329,383,398
6,person,0.2770346999168396,353,394,397,453
6,person,0.26492899656295776,415,389,459,455
6,person,0.25844576954841614,645,403,677,456
6,umbrella,0.2510196268558502,636,248,1222,389
7,person,0.7942336201667786,48,411,134,637
7,person,0.6511426568031311,148,409,203,595
7,person,0.6422641277313232,1192,379,1247,494
7,person,0.6285949945449829,346,436,407,633
7,person,0.6242288947105408,192,413,239,589
7,person,0.5675526857376099,10,420,61,603
7,person,0.5026764273643494,469,396,505,466
7,person,0.4944368004798889,229,414,267,572
7,person,0.47004008293151855,1135,381,1197,490
7,person,0.4539892375469208,697,379,738,468
7,person,0.4366944134235382,1248,383,1279,496
7,person,0.42326655983924866,1067,384,1122,485
7,person,0.3997594714164734,529,385,572,463
7,person,0.39168018102645874,987,375,1067,558
7,person,0.363906592130661,635,401,672,460
7,person,0.3563190996646881,989,381,1066,481
7,person,0.34829461574554443,569,392,605,456
7,person,0.3346107304096222,350,395,390,449
7,umbrella,0.3099493980407715,631,250,1219,618
7,umbrella,0.3079521358013153,96,329,375,389
7,umbrella,0.3050343990325928,633,250,1215,387
7,person,0.28814181685447693,416,391,460,458
7,bicycle,0.2737508714199066,980,539,1272,716
7,person,0.25865423679351807,501,395,539,460
7,person,0.2510683536529541,785,441,814,474
8,person,0.8380976319313049,37,412,120,637
8,person,0.7372982501983643,0,421,53,604
8,person,0.6754854321479797,337,436,399,632
8,person,0.6064251661300659,135,413,196,595
8,person,0.5921000242233276,1182,381,1238,499
8,person,0.5759290456771851,1123,381,1192,513
8,person,0.551023542881012,460,394,500,465
8,person,0.5097162127494812,181,413,226,591
8,person,0.45545893907546997,1058,386,1113,484
8,person,0.45070523023605347,982,379,1052,482
8,person,0.4499798119068146,1239,383,1279,502
8,person,0.39610713720321655,687,377,726,470
8,person,0.32826584577560425,218,409,255,586
8,umbrella,0.31566837430000305,79,328,367,394
8,umbrella,0.30354830622673035,621,251,1212,617
8,person,0.26557812094688416,891,421,936,513
8,person,0.26058533787727356,339,393,381,451
8,person,0.25894954800605774,523,391,563,464
8,bicycle,0.2524625062942505,983,526,1277,716
9,person,0.8400253057479858,15,415,101,637
9,person,0.6492332220077515,323,432,384,633
9,person,0.6188898682594299,124,410,176,590
9,bicycle,0.6148807406425476,966,531,1278,715
9,person,0.596233069896698,1167,381,1225,496
9,person,0.5027487874031067,1107,383,1175,498
9,person,0.47159960865974426,1225,373,1279,503
9,person,0.44739729166030884,0,418,28,611
9,person,0.434490442276001,671,374,711,468
9,person,0.4225248396396637,447,395,485,471
9,person,0.3901342749595642,1042,388,1097,519
9,person,0.38265225291252136,328,396,368,450
9,person,0.36124828457832336,163,413,217,592
9,person,0.35967525839805603,829,425,860,480
9,person,0.35080358386039734,972,379,1037,482
9,person,0.32916563749313354,508,392,548,465
9,person,0.28874439001083374,479,395,512,465
9,person,0.28640881180763245,1108,382,1177,543
9,person,0.27315470576286316,202,418,237,582
9,umbrella,0.26473677158355713,608,253,1189,616
9,umbrella,0.25069814920425415,63,326,356,389
10,person,0.7952559590339661,0,410,81,637
10,person,0.6674202680587769,308,436,368,634
10,person,0.627164900302887,106,410,161,594
10,person,0.524074137210846,1209,378,1279,502
10,bicycle,0.5240229368209839,950,529,1278,714
10,person,0.506788432598114,1148,386,1200,497
10,person,0.49730002880096436,1090,385,1157,504
10,person,0.4748312532901764,652,374,690,463
10,person,0.474164754152298,146,414,204,595
10,person,0.4004185199737549,314,395,355,448
10,person,0.3942422568798065,171,415,222,597
10,person,0.3816826045513153,1023,387,1080,523
10,person,0.34948310256004333,1025,391,1081,487
10,person,0.3296688199043274,434,394,475,474
10,person,0.32861194014549255,956,381,1022,484
10,person,0.3156784772872925,487,388,536,467
10,umbrella,0.29393327236175537,44,325,316,380
10,person,0.2882048785686493,391,394,424,456
10,person,0.2805446982383728,746,444,777,477
10,person,0.2646985650062561,814,426,845,480
10,umbrella,0.2578941881656647,596,255,1169,613
11,person,0.813984751701355,0,409,63,639
11,person,0.7091827392578125,85,410,145,597
11,person,0.6952354907989502,291,434,353,638
11,person,0.5344120264053345,1192,375,1279,500
11,person,0.5034937262535095,1073,386,1139,500
11,person,0.501883327960968,419,396,459,481
11,person,0.4807131588459015,1128,387,1182,495
11,person,0.4758768677711487,153,414,205,598
11,person,0.4690421223640442,634,382,669,467
11,person,0.43114903569221497,296,396,340,449
11,bicycle,0.4107098877429962,933,533,1278,715
11,person,0.3677730858325958,940,381,1005,484
11,umbrella,0.3525612950325012,579,256,1155,608
11,person,0.3487851917743683,850,444,893,519
11,person,0.34668785333633423,375,395,408,457
11,person,0.334679514169693,1008,388,1066,513
11,person,0.3146948516368866,470,388,517,466
11,person,0.3105008006095886,420,395,468,470
11,person,0.29222947359085083,801,429,830,481
11,person,0.26534873247146606,1174,388,1211,493
11,person,0.2536236345767975,875,395,917,473
12,person,0.7122488021850586,278,438,343,637
12,person,0.690133273601532,0,399,40,641
12,person,0.6162112951278687,1059,388,1124,499
12,person,0.6086665391921997,1112,386,1166,498
12,person,0.5946866869926453,138,414,190,600
12,person,0.5264827013015747,72,412,127,595
12,person,0.5186430215835571,613,382,653,466
12,person,0.5033803582191467,1179,376,1252,497
12,person,0.4809705317020416,406,396,452,480
12,bicycle,0.4550836682319641,913,533,1275,714
12,person,0.44475850462913513,926,380,995,525
12,person,0.4091159403324127,991,391,1050,525
12,person,0.4083845913410187,453,387,499,466
12,person,0.36850059032440186,363,395,398,461
12,person,0.35836803913116455,114,415,154,591
12,person,0.35655075311660767,786,431,815,483
12,person,0.33533409237861633,1223,376,1279,495
12,person,0.3332754373550415,283,396,325,450
12,person,0.3214152753353119,925,382,991,487
12,person,0.31837546825408936,994,394,1051,490
12,umbrella,0.3131462633609772,570,258,1138,610
12,potted plant,0.30208778381347656,490,466,576,579
12,person,0.2962089776992798,1157,390,1195,495
12,person,0.2616340219974518,809,436,843,481
12,person,0.25196129083633423,559,409,607,471
13,person,0.6924894452095032,271,436,331,640
13,person,0.6607587933540344,54,415,110,595
13,person,0.6583717465400696,1049,388,1113,529
13,person,0.6361138224601746,1165,376,1235,500
13,person,0.6249955892562866,1104,387,1157,496
13,person,0.5536586046218872,107,417,180,597
13,person,0.5192328095436096,600,381,638,468
13,person,0.4642201066017151,396,395,442,465
13,person,0.4533371031284332,983,390,1042,527
13,person,0.45065850019454956,917,384,980,488
13,person,0.4481829106807709,441,389,491,469
13,person,0.4143697917461395,987,391,1039,489
13,person,0.4053594768047333,0,409,36,610
13,person,0.3704570233821869,0,407,27,641
13,person,0.3633403182029724,546,404,591,473
13,person,0.3588242530822754,917,384,985,548
13,person,0.3479355573654175,828,445,872,517
13,person,0.314110666513443,354,394,388,461
13,person,0.29500332474708557,102,417,138,585
13,person,0.2931787371635437,818,402,856,455
13,bicycle,0.27332863211631775,928,540,1277,714
13,person,0.2663220465183258,320,384,360,458
13,umbrella,0.2662956714630127,564,261,1125,607
14,person,0.692080020904541,53,413,114,598
14,person,0.6773957014083862,115,418,177,600
14,person,0.6494918465614319,269,441,327,639
14,person,0.5854469537734985,1044,387,1109,530
14,person,0.5449317097663879,1167,376,1239,502
14,person,0.4912935793399811,983,392,1037,523
14,person,0.46999895572662354,0,417,29,593
14,person,0.46178102493286133,1097,389,1151,496
14,person,0.45081543922424316,594,382,632,468
14,person,0.44711562991142273,914,385,979,488
14,person,0.4291653335094452,431,397,483,469
14,bicycle,0.42795228958129883,925,536,1275,714
14,person,0.4092455804347992,1144,391,1179,497
14,person,0.37993621826171875,347,396,387,463
14,person,0.37905827164649963,986,393,1037,490
14,person,0.3580905497074127,394,402,431,485
14,person,0.33925217390060425,843,399,889,475
14,umbrella,0.28753069043159485,555,264,1122,619
14,person,0.2824518382549286,1237,413,1279,495
14,umbrella,0.27294811606407166,2,326,289,390
14,person,0.2668192684650421,0,418,49,587
14,person,0.2667258083820343,270,393,314,453
14,umbrella,0.2663344144821167,555,267,1088,378
14,person,0.26343730092048645,396,401,433,463
15,person,0.7570948600769043,54,414,116,600
15,person,0.7529327273368835,114,416,180,603
15,person,0.6263605356216431,268,435,330,640
15,person,0.6067526340484619,1047,389,1112,533
15,person,0.606406569480896,1168,377,1239,502
15,person,0.5611366033554077,1103,389,1156,497
15,person,0.5429002642631531,0,414,29,603
15,person,0.48668038845062256,589,383,630,472
15,person,0.44291162490844727,984,392,1043,526
15,person,0.4313657879829407,986,393,1040,490
15,person,0.4119051694869995,431,396,482,471
15,person,0.4099401533603668,917,385,982,488
15,umbrella,0.3948585093021393,5,330,302,399
15,person,0.3699098825454712,917,384,988,549
15,person,0.35379207134246826,350,396,391,464
15,potted plant,0.3389078378677368,480,471,570,582
15,person,0.3327471911907196,395,400,435,465
15,potted plant,0.2950100898742676,1098,502,1168,565
15,person,0.2930319011211395,1151,390,1181,496
15,umbrella,0.28790953755378723,559,264,1126,619
15,person,0.2631835341453552,827,451,873,518
15,person,0.25208911299705505,820,405,855,456
16,person,0.7257657051086426,57,414,121,602
16,person,0.6809982061386108,1049,389,1114,532
16,person,0.6602783799171448,271,439,333,640
16,person,0.6447537541389465,123,417,183,604
16,person,0.6312196850776672,1105,388,1160,498
16,person,0.5877866744995117,588,385,629,472
16,person,0.573462963104248,430,395,483,470
16,person,0.5457554459571838,0,413,31,605
16,person,0.5242248177528381,1174,379,1241,505
16,bicycle,0.4896317422389984,917,538,1274,714
16,person,0.480364054441452,985,391,1042,531
16,person,0.4149564206600189,918,384,982,488
16,person,0.4051192104816437,397,400,434,469
16,person,0.3631822466850281,918,384,987,550
16,potted plant,0.31618842482566833,481,471,572,581
16,person,0.3092516362667084,988,393,1040,488
16,person,0.30521872639656067,1156,391,1185,496
16,umbrella,0.2807403802871704,562,264,1128,593
16,person,0.2789508104324341,820,405,858,457
16,person,0.2692115008831024,354,398,391,463
17,person,0.7085604667663574,60,413,122,602
17,person,0.671287477016449,1106,388,1160,498
17,person,0.6546386480331421,273,441,334,640
17,person,0.6450141668319702,125,422,186,607
17,person,0.633541464805603,1050,390,1115,528
17,person,0.620671808719635,1175,378,1244,507
17,person,0.5696260929107666,0,409,32,608
17,person,0.5667769312858582,430,393,483,469
17,person,0.539821982383728,585,385,628,471
17,bicycle,0.4958263337612152,915,537,1273,714
17,person,0.4908575415611267,986,391,1042,531
17,person,0.4225150942802429,918,385,985,488
17,person,0.3719589114189148,399,399,437,468
17,person,0.3641726076602936,919,384,989,552
17,person,0.3361218273639679,820,405,858,460
17,person,0.32610008120536804,989,392,1041,489
17,potted plant,0.32554173469543457,481,471,573,581
17,person,0.3132065236568451,75,415,130,597
17,handbag,0.2947077751159668,30,464,62,519
17,person,0.29439783096313477,1156,390,1187,496
17,umbrella,0.2681238353252411,564,264,1128,599
17,person,0.25995194911956787,355,398,387,464
18,person,0.7304825186729431,60,414,124,602
18,person,0.6953654289245605,129,420,189,608
18,person,0.6605468392372131,273,442,335,640
18,person,0.6508927345275879,1106,388,1159,497
18,person,0.621772825717926,1176,378,1246,506
18,person,0.6055575013160706,579,383,623,472
18,person,0.5749614834785461,1052,390,1116,527
18,person,0.5616615414619446,0,406,33,607
18,person,0.5232197046279907,428,392,481,466
18,person,0.49481964111328125,986,391,1041,534
18,bicycle,0.49113941192626953,912,536,1275,714
18,person,0.42677751183509827,918,385,985,488
18,person,0.367372989654541,820,404,858,460
18,person,0.36109668016433716,919,385,988,552
18,potted plant,0.33187663555145264,481,471,571,579
18,person,0.3290267884731293,989,392,1041,490
18,person,0.2907363176345825,1155,391,1188,496
18,person,0.28374186158180237,399,399,438,467
18,umbrella,0.26749345660209656,563,264,1128,602
18,person,0.26618775725364685,353,398,387,464
18,person,0.2583392560482025,831,450,875,517
18,person,0.25736185908317566,1227,438,1279,503
19,person,0.6906992793083191,280,443,342,643
19,person,0.6704932451248169,1186,374,1257,498
19,person,0.6473403573036194,137,422,193,608
19,person,0.6047360301017761,582,382,629,472
19,person,0.5818423628807068,72,421,132,604
19,person,0.5614612698554993,1113,386,1167,497
19,person,0.5528340935707092,0,408,39,614
19,person,0.5259180068969727,1058,387,1123,501
19,person,0.5146782994270325,1163,390,1194,493
19,person,0.4546576738357544,926,381,994,493
19,person,0.41217026114463806,433,392,484,466
19,umbrella,0.39916831254959106,6,333,308,400
19,person,0.3948739767074585,993,391,1052,541
19,bicycle,0.37714406847953796,921,535,1278,714
19,person,0.34142735600471497,407,405,440,472
19,person,0.313140869140625,838,449,883,532
19,person,0.29768264293670654,0,411,27,617
19,person,0.29705819487571716,122,424,152,581
19,person,0.2908397614955902,362,397,395,466
19,person,0.2907974421977997,787,433,816,484
19,person,0.2771774232387543,994,394,1052,496
19,person,0.26873061060905457,924,383,998,542
19,umbrella,0.26781412959098816,568,263,1136,603
20,person,0.6573489904403687,148,424,204,605
20,person,0.6530024409294128,82,422,142,607
20,person,0.6406046748161316,291,448,351,643
20,person,0.6048742532730103,1126,384,1176,493
20,person,0.578539252281189,1068,384,1131,496
20,person,0.5695564150810242,1198,370,1278,497
20,person,0.5598636269569397,0,416,42,652
20,person,0.5166897177696228,442,390,496,465
20,person,0.5105371475219727,586,386,633,470
20,person,0.46340420842170715,930,383,1001,486
20,person,0.42917585372924805,1175,387,1207,491
20,bicycle,0.4283728003501892,930,525,1278,714
20,person,0.3700545132160187,1004,389,1058,486
20,person,0.35129544138908386,4,424,57,605
20,umbrella,0.3337253928184509,14,336,322,412
20,person,0.32458120584487915,846,448,892,516
20,umbrella,0.32273146510124207,575,259,1150,611
20,person,0.2806217074394226,835,401,874,457
20,person,0.2761092185974121,619,439,643,472
20,potted plant,0.266044557094574,498,472,582,585
20,person,0.26532381772994995,828,404,872,464
20,person,0.25012344121932983,794,431,826,482
21,person,0.6495195031166077,154,427,209,610
21,person,0.6416627764701843,296,447,355,644
21,person,0.6082321405410767,87,425,146,608
21,person,0.5828267931938171,1129,380,1182,492
21,person,0.56787109375,587,386,633,472
21,person,0.5343296527862549,0,422,53,643
21,person,0.5025916695594788,1203,367,1278,496
21,person,0.4751056432723999,1072,383,1134,497
21,person,0.4660414457321167,1179,385,1211,491
21,bicycle,0.40508121252059937,923,529,1278,717
21,person,0.39262399077415466,1009,386,1062,485
21,person,0.39256057143211365,1008,385,1063,522
21,person,0.38758164644241333,938,380,1002,482
21,person,0.37333813309669495,444,392,498,469
21,person,0.3681924641132355,849,449,894,517
21,person,0.34678757190704346,416,409,450,476
21,umbrella,0.3445432186126709,32,337,323,415
21,person,0.3422698378562927,139,432,167,592
21,umbrella,0.33690646290779114,578,257,1153,613
21,person,0.2758253514766693,374,401,407,467
21,person,0.2728992700576782,798,430,832,482
21,person,0.2590087354183197,829,403,875,470
21,person,0.25525596737861633,0,425,38,644
21,person,0.25363972783088684,356,395,387,464
21,person,0.25131353735923767,7,428,58,608
22,person,0.6383087038993835,158,431,214,615
22,person,0.6327152252197266,90,430,148,608
22,person,0.6300418376922607,298,451,355,647
22,person,0.6173341274261475,1209,365,1279,497
22,person,0.5791472792625427,1134,380,1185,490
22,person,0.5600711703300476,0,425,55,644
22,person,0.5171282887458801,586,382,633,473
22,person,0.5109425783157349,139,432,171,592
22,person,0.49812060594558716,1010,386,1065,481
22,person,0.48821166157722473,1186,383,1216,490
22,person,0.46400657296180725,11,428,60,618
22,person,0.46152758598327637,1075,378,1140,530
22,person,0.445320725440979,943,381,1009,481
22,person,0.4112980365753174,1076,381,1139,489
22,person,0.3742583096027374,566,382,631,475
22,umbrella,0.37105581164360046,28,339,326,410
22,person,0.3425968289375305,0,424,40,655
22,bicycle,0.3320468068122864,958,537,1278,714
22,person,0.3254316747188568,853,448,898,536
22,person,0.3201908767223358,378,401,410,468
22,umbrella,0.3034144639968872,579,257,1156,610
22,person,0.2957354784011841,359,395,390,466
22,person,0.2865007221698761,443,393,498,467
22,person,0.2705540060997009,801,431,831,482
23,person,0.7015374302864075,98,428,157,607
23,person,0.6865845918655396,165,427,221,614
23,person,0.6561694145202637,0,423,57,651
23,person,0.5909812450408936,303,451,358,645
23,person,0.5812454223632812,1218,366,1279,496
23,person,0.5724876523017883,1083,381,1147,491
23,person,0.5539750456809998,1139,380,1194,490
23,person,0.480842649936676,587,380,637,472
23,person,0.47560879588127136,947,378,1014,482
23,bicycle,0.467312753200531,940,535,1278,714
23,person,0.43381625413894653,1017,386,1072,485
23,person,0.4031761884689331,150,432,182,590
23,person,0.39925986528396606,1191,384,1224,491
23,umbrella,0.3850058615207672,583,255,1159,617
23,person,0.37942710518836975,381,401,421,469
23,person,0.3505088984966278,447,392,500,469
23,umbrella,0.3368414342403412,32,340,330,410
23,person,0.3327356278896332,24,428,69,614
23,person,0.32645219564437866,859,447,904,514
23,person,0.26565492153167725,625,438,653,472
24,person,0.6794589161872864,106,429,163,601
24,person,0.6641482710838318,311,448,368,643
24,person,0.6607029438018799,0,428,68,652
24,person,0.6365921497344971,173,431,229,612
24,person,0.6141427755355835,1223,367,1279,498
24,person,0.5544160008430481,1146,380,1199,490
24,person,0.5291972756385803,588,384,639,473
24,person,0.5225118398666382,1088,380,1153,522
24,person,0.5091458559036255,1200,385,1230,491
24,person,0.49058884382247925,156,432,186,583
24,person,0.4791584014892578,950,378,1020,482
24,person,0.4282499849796295,1023,383,1079,537
24,person,0.41223594546318054,28,430,74,612
24,bicycle,0.37401869893074036,941,532,1279,715
24,person,0.3688909411430359,1025,384,1080,487
24,person,0.3662606477737427,628,439,660,473
24,person,0.3500991463661194,811,426,846,481
24,umbrella,0.3296082615852356,41,338,337,412
24,person,0.3263675570487976,952,376,1023,537
24,person,0.2793557345867157,60,429,109,594
24,person,0.2782098948955536,0,419,44,660
25,person,0.7163738012313843,0,432,72,650
25,person,0.6696969270706177,179,425,233,602
25,person,0.648396909236908,320,445,374,641
25,person,0.6156760454177856,1231,365,1279,497
25,person,0.6144391298294067,1032,386,1085,483
25,person,0.6125906705856323,1094,379,1160,486
25,person,0.597844660282135,1154,377,1209,488
25,person,0.5825857520103455,112,423,170,604
25,person,0.576532244682312,588,384,638,475
25,bicycle,0.5757219791412354,956,538,1279,714
25,person,0.5142160654067993,1205,379,1238,488
25,person,0.47750040888786316,960,376,1027,479
25,person,0.4555605351924896,460,390,511,464
25,person,0.36117732524871826,36,427,90,609
25,person,0.3442452549934387,162,429,192,588
25,umbrella,0.32430827617645264,48,337,340,407
25,potted plant,0.31974685192108154,521,469,604,578
25,person,0.3146874010562897,634,438,664,470
25,person,0.3085187077522278,899,396,934,472
25,person,0.29970496892929077,395,398,425,465
25,chair,0.2963741719722748,862,513,962,639
25,umbrella,0.2637802064418793,597,252,1170,613
25,person,0.26286160945892334,374,393,404,463
25,person,0.2567919194698334,869,445,916,515
26,person,0.7983387112617493,0,422,78,645
26,person,0.6842104196548462,193,421,245,604
26,person,0.6383674740791321,119,417,177,601
26,person,0.6268672943115234,588,378,640,473
26,person,0.6073121428489685,1161,375,1215,488
26,person,0.582443118095398,1039,382,1094,483
26,bicycle,0.5676850080490112,964,535,1278,715
26,person,0.5298261642456055,963,374,1034,479
26,person,0.5272460579872131,325,437,381,637
26,person,0.5227538347244263,170,425,202,584
26,person,0.5023782253265381,1214,379,1248,490
26,person,0.49674463272094727,1242,370,1279,496
26,person,0.48141488432884216,1103,377,1168,488
26,person,0.4756985306739807,47,421,94,603
26,person,0.42516621947288513,465,389,511,468
26,chair,0.3578592538833618,864,517,967,638
26,person,0.33582383394241333,873,441,924,531
26,umbrella,0.32630425691604614,56,335,352,398
26,person,0.30019882321357727,404,396,441,463
26,person,0.2833101451396942,445,410,470,468
26,umbrella,0.2648610770702362,603,251,1181,617
26,person,0.2529953420162201,863,441,925,598
27,person,0.7593080997467041,0,419,83,639
27,person,0.67337965965271,196,416,251,601
27,person,0.6628578305244446,330,438,389,634
27,person,0.6382430195808411,126,417,185,597
27,person,0.6326861381530762,1170,375,1226,488
27,person,0.5678138136863708,589,376,644,465
27,person,0.554932713508606,1223,381,1257,489
27,person,0.5221338272094727,1111,375,1178,521
27,person,0.5096889138221741,976,375,1038,475
27,person,0.4910658001899719,1044,382,1100,504
27,person,0.44289660453796387,1251,375,1279,495
27,person,0.4260953366756439,829,423,865,478
27,umbrella,0.41126498579978943,65,333,359,402
27,person,0.4074612259864807,908,391,948,472
27,person,0.4026130437850952,54,419,104,599
27,person,0.3146958351135254,1110,374,1156,484
27,person,0.3076632618904114,861,398,910,472
27,person,0.3001618981361389,179,429,210,580
27,person,0.29596972465515137,408,395,443,459
27,umbrella,0.2924537658691406,804,249,1190,379
27,person,0.2868610620498657,972,377,1028,495
27,person,0.2547321319580078,449,412,476,479
28,person,0.7385380864143372,9,419,94,634
28,person,0.7099379897117615,138,415,194,594
28,person,0.663431704044342,339,438,397,634
28,person,0.6456934809684753,208,418,259,593
28,person,0.5988812446594238,1120,375,1187,497
28,person,0.5573065876960754,1180,376,1239,490
28,person,0.5492604970932007,64,416,113,593
28,person,0.5343695878982544,981,371,1050,479
28,person,0.533894956111908,594,380,645,467
28,person,0.5258455276489258,1055,380,1110,482
28,person,0.5009238719940186,188,424,221,576
28,person,0.4824086129665375,1052,379,1109,533
28,person,0.4067747890949249,477,387,525,463
28,person,0.4003145396709442,1236,381,1269,488
28,umbrella,0.3758142292499542,74,332,364,399
28,person,0.37372398376464844,874,395,918,467
28,person,0.36200785636901855,415,393,457,460
28,person,0.33147844672203064,914,391,955,470
28,bicycle,0.32969263195991516,980,519,1279,716
28,umbrella,0.29828253388404846,616,247,1199,389
28,person,0.27073565125465393,877,395,918,446
29,person,0.7585029006004333,22,420,107,634
29,person,0.6998826861381531,150,412,210,593
29,person,0.6428900361061096,349,439,411,633
29,person,0.6399824023246765,225,413,273,587
29,person,0.6037181615829468,605,375,653,464
29,person,0.5371952056884766,78,417,129,594
29,person,0.49224424362182617,992,371,1065,479
29,person,0.48915812373161316,1135,374,1203,525
29,person,0.45960280299186707,1065,379,1124,538
29,person,0.45693010091781616,1067,380,1124,479
29,person,0.4556710720062256,1193,373,1252,489
29,person,0.3735276162624359,200,420,236,577
29,potted plant,0.3727976381778717,553,467,635,573
29,bicycle,0.364487886428833,993,533,1278,716
29,umbrella,0.35217317938804626,93,332,381,396
29,person,0.3475539982318878,1250,376,1279,486
29,person,0.3181513845920563,932,393,963,470
