timestamp,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0.0,0,person,0.857215166091919,123.76748657226562,407.75732421875,208.92431640625,624.0540771484375
0.0,0,person,0.664419949054718,402.83367919921875,430.9437561035156,463.27252197265625,624.4659423828125
0.0,0,person,0.6362510323524475,2.4392471313476562,408.3385009765625,60.27886962890625,554.3408203125
0.0,0,person,0.6343035697937012,81.93879699707031,417.3792724609375,132.0608367919922,584.0064697265625
0.0,0,person,0.6192054748535156,522.2398681640625,392.32537841796875,562.28173828125,473.15130615234375
0.0,0,person,0.5818520188331604,213.29501342773438,411.34039306640625,258.1787414550781,580.4716186523438
0.0,0,person,0.5456704497337341,245.57432556152344,408.4210205078125,303.4730224609375,589.0018310546875
0.0,0,person,0.4787798523902893,769.7418212890625,374.304931640625,811.4539794921875,468.1710205078125
0.0,0,person,0.43087655305862427,1132.0985107421875,384.3892822265625,1194.4542236328125,521.7432861328125
0.0,1,bicycle,0.4145399034023285,1048.130859375,547.4495849609375,1277.63720703125,718.6705322265625
0.0,0,person,0.36024677753448486,1063.13134765625,377.94940185546875,1131.056640625,486.62554931640625
0.0,0,person,0.34531691670417786,1203.479248046875,380.832275390625,1277.079833984375,530.9703369140625
0.0,0,person,0.295328825712204,589.03759765625,384.958740234375,635.049560546875,463.60455322265625
0.0,0,person,0.2888980507850647,696.1146240234375,402.27301025390625,728.3944091796875,464.4732666015625
0.0,0,person,0.2844941020011902,479.76507568359375,393.2308349609375,513.9284057617188,455.08203125
0.0,25,umbrella,0.2759369909763336,682.574951171875,249.70098876953125,1277.162841796875,393.58319091796875
0.0,0,person,0.2734287679195404,1230.781494140625,383.933349609375,1279.138916015625,527.21337890625
0.0,25,umbrella,0.2728423774242401,681.1639404296875,249.6397705078125,1279.9385986328125,623.6671752929688
0.0,0,person,0.26870375871658325,1202.994873046875,385.5089111328125,1246.420166015625,491.84637451171875
0.04,0,person,0.857215166091919,123.76748657226562,407.75732421875,208.92431640625,624.0540771484375
0.04,0,person,0.664419949054718,402.83367919921875,430.9437561035156,463.27252197265625,624.4659423828125
0.04,0,person,0.6362510323524475,2.4392471313476562,408.3385009765625,60.27886962890625,554.3408203125
0.04,0,person,0.6343035697937012,81.93879699707031,417.3792724609375,132.0608367919922,584.0064697265625
0.04,0,person,0.6192054748535156,522.2398681640625,392.32537841796875,562.28173828125,473.15130615234375
0.04,0,person,0.5818520188331604,213.29501342773438,411.34039306640625,258.1787414550781,580.4716186523438
0.04,0,person,0.5456704497337341,245.57432556152344,408.4210205078125,303.4730224609375,589.0018310546875
0.04,0,person,0.4787798523902893,769.7418212890625,374.304931640625,811.4539794921875,468.1710205078125
0.04,0,person,0.43087655305862427,1132.0985107421875,384.3892822265625,1194.4542236328125,521.7432861328125
0.04,1,bicycle,0.4145399034023285,1048.130859375,547.4495849609375,1277.63720703125,718.6705322265625
0.04,0,person,0.36024677753448486,1063.13134765625,377.94940185546875,1131.056640625,486.62554931640625
0.04,0,person,0.34531691670417786,1203.479248046875,380.832275390625,1277.079833984375,530.9703369140625
0.04,0,person,0.295328825712204,589.03759765625,384.958740234375,635.049560546875,463.60455322265625
0.04,0,person,0.2888980507850647,696.1146240234375,402.27301025390625,728.3944091796875,464.4732666015625
0.04,0,person,0.2844941020011902,479.76507568359375,393.2308349609375,513.9284057617188,455.08203125
0.04,25,umbrella,0.2759369909763336,682.574951171875,249.70098876953125,1277.162841796875,393.58319091796875
0.04,0,person,0.2734287679195404,1230.781494140625,383.933349609375,1279.138916015625,527.21337890625
0.04,25,umbrella,0.2728423774242401,681.1639404296875,249.6397705078125,1279.9385986328125,623.6671752929688
0.04,0,person,0.26870375871658325,1202.994873046875,385.5089111328125,1246.420166015625,491.84637451171875
0.08,0,person,0.8687171936035156,120.13418579101562,409.7822265625,208.92630004882812,626.7286376953125
0.08,0,person,0.6777902841567993,1.240142822265625,411.320068359375,68.11225891113281,558.472900390625
0.08,0,person,0.6590085625648499,402.70208740234375,430.3739318847656,461.90362548828125,624.6566162109375
0.08,0,person,0.6325919032096863,79.8836669921875,419.600830078125,131.85585021972656,592.5467529296875
0.08,0,person,0.5964863896369934,240.46981811523438,408.78570556640625,304.9068298339844,591.9629516601562
0.08,0,person,0.5927507281303406,210.31741333007812,406.36322021484375,258.6163024902344,585.7357788085938
0.08,0,person,0.5823211669921875,521.364501953125,391.9856872558594,561.832763671875,468.0773620605469
0.08,0,person,0.5705848336219788,1203.3441162109375,382.35565185546875,1275.4930419921875,496.44305419921875
0.08,1,bicycle,0.5491093993186951,1035.9102783203125,544.251220703125,1277.6612548828125,718.8165283203125
0.08,0,person,0.5215228796005249,1131.2354736328125,383.85601806640625,1191.3155517578125,487.68963623046875
0.08,0,person,0.5050690174102783,757.0445556640625,373.75189208984375,804.4635009765625,462.84979248046875
0.08,0,person,0.45383694767951965,1058.13427734375,377.41943359375,1135.74853515625,486.7041015625
0.08,0,person,0.37879613041877747,589.23291015625,385.52081298828125,632.65869140625,462.86199951171875
0.08,0,person,0.3349889814853668,478.05010986328125,392.78741455078125,514.2369384765625,456.68048095703125
0.08,0,person,0.3106202185153961,693.60400390625,400.0625,725.955322265625,463.70379638671875
0.08,25,umbrella,0.28076067566871643,681.87451171875,248.81912231445312,1277.380859375,390.5060729980469
0.08,0,person,0.2710830867290497,623.6580810546875,395.24169921875,663.1551513671875,464.98675537109375
0.08,25,umbrella,0.270727276802063,157.4575653076172,326.60394287109375,429.75054931640625,387.94927978515625
